Date,GameTimeUTC,GameTimeET,GameTime,Game,LineupSpot,Player,player_id,LineupSource,Team,Pitcher,ISO,Pitcher_HR9,HardHit,FlyBall,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate,ParkFactor,WindFactor,Matchup,FanDuel,DraftKings,BetMGM,PitcherVulnerability,BatterHand,PitcherHRWeakSide,PitcherHRSpotWeakness
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,1,Taylor Ward,621493,confirmed,Baltimore Orioles,Spencer Miles,0.23,0.69,43.0,38.0,10.1,90.2,16.8,0.14,1.03,1.05,0.72,436.0,439.0,442.0,35.49,R,L,7-9
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,2,Gunnar Henderson,683002,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.69,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.05,0.65,437.0,430.0,435.0,35.49,R,L,7-9
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,3,Adley Rutschman,668939,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.69,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.05,0.65,549.0,535.0,538.0,35.49,R,L,7-9
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,4,Pete Alonso,624413,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.69,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.05,0.65,351.0,357.0,348.0,35.49,R,L,7-9
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,5,Samuel Basallo,694212,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.69,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.05,0.65,547.0,545.0,549.0,35.49,R,L,7-9
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,6,Leody Taveras,665750,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.69,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.05,0.65,496.0,499.0,502.0,35.49,R,L,7-9
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,7,Colton Cowser,681297,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.69,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.05,0.65,380.0,384.0,383.0,35.49,R,L,7-9
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,8,Blaze Alexander,677942,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.69,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.05,0.65,470.0,466.0,472.0,35.49,R,L,7-9
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,9,Jackson Holliday,702616,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.69,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.05,0.65,484.0,485.0,474.0,35.49,R,L,7-9
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,1,Nathan Lukes,664770,confirmed,Toronto Blue Jays,Kyle Bradish,0.18,0.89,38.0,34.0,8.0,89.0,14.0,0.1,1.05,1.1,0.65,584.0,579.0,588.0,38.87,R,L,7-9
