Date,Game,LineupSpot,Player,player_id,LineupSource,Team,Pitcher,ISO,Pitcher_HR9,HardHit,FlyBall,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate,ParkFactor,WindFactor,Matchup,FanDuel,DraftKings,BetMGM,PitcherVulnerability
2026-05-29,Atlanta Braves vs Cincinnati Reds,1,Chadwick Tromp,644433,active_roster,Atlanta Braves,Chris Paddack,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,553.0,555.0,565.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,2,Sandy León,506702,active_roster,Atlanta Braves,Chris Paddack,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,524.0,521.0,523.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,3,Matt Olson,621566,active_roster,Atlanta Braves,Chris Paddack,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,327.0,341.0,326.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,4,Ozzie Albies,645277,active_roster,Atlanta Braves,Chris Paddack,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,405.0,399.0,397.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,5,Austin Riley,663586,active_roster,Atlanta Braves,Chris Paddack,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,624.0,620.0,631.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,6,Ha-Seong Kim,673490,active_roster,Atlanta Braves,Chris Paddack,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,505.0,500.0,508.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,7,Jorge Mateo,622761,active_roster,Atlanta Braves,Chris Paddack,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,642.0,630.0,639.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,8,Mauricio Dubón,643289,active_roster,Atlanta Braves,Chris Paddack,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,415.0,422.0,415.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,9,Mike Yastrzemski,573262,active_roster,Atlanta Braves,Chris Paddack,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,400.0,413.0,396.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,1,P.J. Higgins,664731,active_roster,Cincinnati Reds,Grant Holmes,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.12,1.0,0.65,457.0,466.0,471.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,2,Tyler Stephenson,663886,active_roster,Cincinnati Reds,Grant Holmes,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.12,1.0,0.65,387.0,377.0,398.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,3,Sal Stewart,701398,active_roster,Cincinnati Reds,Grant Holmes,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.12,1.0,0.65,493.0,478.0,491.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,4,Matt McLain,680574,active_roster,Cincinnati Reds,Grant Holmes,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.12,1.0,0.65,422.0,427.0,417.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,5,Elly De La Cruz,682829,active_roster,Cincinnati Reds,Grant Holmes,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.12,1.0,0.65,350.0,337.0,359.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,6,JJ Bleday,668709,active_roster,Cincinnati Reds,Grant Holmes,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.12,1.0,0.65,454.0,465.0,441.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,7,Spencer Steer,668715,active_roster,Cincinnati Reds,Grant Holmes,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.12,1.0,0.65,485.0,488.0,476.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,8,Dane Myers,667472,active_roster,Cincinnati Reds,Grant Holmes,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.12,1.0,0.65,592.0,583.0,599.0,51.25
2026-05-29,Atlanta Braves vs Cincinnati Reds,9,TJ Friedl,670770,active_roster,Cincinnati Reds,Grant Holmes,0.18,1.2,38.0,34.0,8.0,89.0,14.0,0.1,1.12,1.0,0.65,474.0,466.0,471.0,51.25
